firm,year,quarter,total_assets,current_assets,inventory,total_liabilities,short_term_debt,equity,revenue,cogs,operating_profit,interest_expense,net_income,cfo,capex,capex_abs,FCF,avg_total_assets,avg_equity,avg_inventory,ROA,NPM,TATO,ITO,DAR,QR,FCF_TA,ICR,has_debt,SIZE,ROA_lag1,ROA_lag4,REV_GROWTH_YOY,revenue_zero_flag,revenue_negative_flag,op_gt_rev_flag,bs_error,bs_error_flag,bs_severe_flag,qr_issue_flag,target,ROA_next,ROA_lag2,REV_GROWTH_QOQ
API,2014,1,549352495885.0,187288071991.0,10286562934.0,271316572479.0,223174169979.0,278015923406.0,0.0,0.0,-175643486.0,99545085.0,151406552.0,11732941541.0,-17637820916.0,17637820916.0,-5904879375.0,532613738358.5,278359451202.0,5597260189.5,0.0002842708347453,,0.00037966432464123755,0.00047895705874661794,0.4938842992638313,0.7931092969838548,-0.011086607328603,-1.7644616607640649,1,27.03200614142511,0.049378469589834474,0.0043117893172948,,1,0,0,3.640649701205098e-05,0,0,0,0,-0.0062873664552588,0.0046968570251354,
API,2014,2,553168288187.0,172523439931.0,12083569289.0,278604906024.0,225718003524.0,274543380956.0,1169863727.0,1694838354.0,-1810875532.0,406233403.0,-3465976097.0,-849068687.0,-21500780003.0,21500780003.0,-22349848690.0,551260392036.0,276279652181.0,11185066111.5,-0.0062873664552588,-1.8802629763033991,0.0021221617658386,0.1515268964085461,0.5036530690092937,0.710797845706361,-0.0405431788912932,-4.45772188753272,1,27.0389281107754,0.0002842708347453,0.0066029049431662,,0,0,0,3.6157544507031714e-05,0,0,0,1,0.0047825587548535,0.049378469589834474,
API,2014,3,580723591865.0,196537845248.0,12158562157.0,303444223343.0,256677171043.0,277259368522.0,0.0,0.0,2380350976.0,277172563.0,2711452269.0,9897847289.0,-1850043571.0,1850043571.0,8047803718.0,566945940026.0,275901374739.0,12121065723.0,0.0047825587548535,,0.00037966432464123755,0.00047895705874661794,0.5225278042665455,0.7183314446772976,0.0141950107582231,8.587974762855586,1,27.087540735096383,-0.0062873664552588,0.0046968570251354,-0.9751086662372507,1,0,1,3.443979249365397e-05,0,0,0,1,0.0116296420039484,0.0002842708347453,-1.0
API,2014,4,622357544188.0,236937507689.0,12233555025.0,338074311863.0,291307259563.0,284263232325.0,2887253365.0,3380435184.0,6974943850.0,33030432.0,6995701457.0,-17500280076.0,-2996076291.0,2996076291.0,-20496356367.0,601540568026.5,280761300423.5,12196058591.0,0.0116296420039484,2.4229607078490667,0.0047997650008416,0.27717439685756917,0.5432155760304811,0.7713640676208554,-0.0340731073786815,211.16720029577573,1,27.156780594418425,0.0047825587548535,0.049378469589834474,,0,0,1,3.213586817862765e-05,0,0,0,1,0.0392801938273221,-0.0062873664552588,
API,2015,1,828577583132.0,442691126551.0,13956162783.0,421173458173.0,372186911673.0,407384106946.0,0.0,0.0,28496506516.0,18799925.0,28496506516.0,42620756856.0,-6849000.0,6849000.0,42613907856.0,725467563660.0,345823669635.5,13094858904.0,0.0392801938273221,,0.00037966432464123755,0.00047895705874661794,0.5083090186690499,1.1519345531007887,0.0587399216596423,840.2652443437594,1,27.442976312315952,0.0116296420039484,0.0002842708347453,,1,0,1,2.4159491407349535e-05,0,0,0,1,0.0282942251900218,0.0047825587548535,-1.0
API,2015,2,606412559108.0,364241646368.0,1551408418.0,181059291792.0,139192745292.0,425333255879.0,177221913.0,234586100.0,31326127233.0,29547000.0,20300967115.0,-75164935102.0,-1169552721.0,1169552721.0,-76334487823.0,717495071120.0,416358681412.5,7753785600.5,0.0282942251900218,3.281683797064347,0.00037966432464123755,0.030254395992697143,0.2985744425516655,2.605669118668108,-0.1063902609168351,840.2652443437594,1,27.130826381990182,0.0392801938273221,-0.0062873664552588,-0.8485106351194698,0,0,1,3.299970737650246e-05,0,0,0,1,0.0072380486462689,0.0116296420039484,
API,2015,3,732948391581.0,487789860918.0,1591105818.0,312223875087.0,270357328587.0,420704505057.0,90615476.0,0.0,6214248565.0,1247428.0,4847179858.0,-40575724404.0,-214363229.0,214363229.0,-40790087633.0,669680475344.5,423018880468.0,1571257118.0,0.0072380486462689,3.281683797064347,0.00037966432464123755,0.00047895705874661794,0.4259834371333024,1.798356115001865,-0.0609097758330442,840.2652443437594,1,27.32034112923431,0.0282942251900218,0.0047825587548535,,0,0,1,2.7302654907031726e-05,0,0,0,0,-0.0769365523490026,0.0392801938273221,-0.4886892119260669
API,2015,4,690466984471.0,440963411576.0,1551408418.0,312828321382.0,268964398799.0,377638663089.0,2330552942.0,1921993075.0,-54314087639.0,11985886.0,-54756335797.0,112809181112.0,-16236200279.0,16236200279.0,96572980833.0,711707688026.0,399171584073.0,1571257118.0,-0.010617901786715412,-1.8802629763033991,0.00327459289988,1.223219963799712,0.4530677475066716,1.6337180873011277,0.13255709573697985,-10.147812111353588,1,27.260633994707668,0.0072380486462689,0.0116296420039484,-0.1928131523711983,0,0,0,0.0,0,0,0,0,0.000791030311383,0.0282942251900218,24.71914914401597
API,2016,1,841484791032.0,584505519790.0,3762905162.0,463968749114.0,422102202614.0,377516041918.0,23069242087.0,20900287230.0,605910145.0,51206747.0,605910145.0,68932384802.0,7508403.0,7508403.0,68924876399.0,765975887751.5,377577352503.5,2657156790.0,0.000791030311383,0.0262648483515391,0.0301174520711338,7.865658251201654,0.5513691442301495,1.3758341250805364,0.0899830888950394,11.832623247870051,1,27.45843377677401,-0.010617901786715412,0.0392801938273221,,0,0,0,0.0,0,0,0,0,0.0011657958963847,0.0072380486462689,8.89861318799425
API,2016,2,606240397600.0,361495578050.0,1689168418.0,227855610332.0,175934190745.0,378384787268.0,16067597435.0,12276040278.0,1613310730.0,230238036.0,843876042.0,-91820553425.0,-16589343368.0,16589343368.0,-108409896793.0,723862594316.0,377950414593.0,2726036790.0,0.0011657958963847,0.0525203625130529,0.0221970268406848,4.503255540436048,0.3758502587983919,2.0451193034644723,-0.1352638061248168,7.007142512282376,1,27.13054244006236,0.000791030311383,0.0282942251900218,16.932395210696967,0,0,0,0.0,0,0,0,0,-0.0019626585513394,-0.010617901786715412,-0.303505621276807
